,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
8874,BodyHI,Pink Noise for Baby Sleep,060w5TOqCiGmjMuVjbmG4a,44,0.0,0.193,1,-18.41,1,0.0,0.951,0.0496,0.104,0.0,0.0,170000,0
8875,BodyHI,Pink Noise for Baby Sleep,060w5TOqCiGmjMuVjbmG4a,44,0.0,0.193,1,-18.41,1,0.0,0.951,0.0496,0.104,0.0,0.0,170000,0
8876,BodyHI,Pink Noise for Baby Sleep,060w5TOqCiGmjMuVjbmG4a,44,0.0,0.193,1,-18.41,1,0.0,0.951,0.0496,0.104,0.0,0.0,170000,0
8877,BodyHI,Pink Noise for Baby Sleep,060w5TOqCiGmjMuVjbmG4a,44,0.0,0.193,1,-18.41,1,0.0,0.951,0.0496,0.104,0.0,0.0,170000,0
8878,BodyHI,Pink Noise for Baby Sleep,060w5TOqCiGmjMuVjbmG4a,44,0.0,0.193,1,-18.41,1,0.0,0.951,0.0496,0.104,0.0,0.0,170000,0
8879,BodyHI,Pink Noise for Baby Sleep,060w5TOqCiGmjMuVjbmG4a,44,0.0,0.193,1,-18.41,1,0.0,0.951,0.0496,0.104,0.0,0.0,170000,0
8880,BodyHI,Pink Noise for Baby Sleep,060w5TOqCiGmjMuVjbmG4a,44,0.0,0.193,1,-18.41,1,0.0,0.951,0.0496,0.104,0.0,0.0,170000,0
8881,Eagles,Learn To Be Still,5POu9RspR7sR9zD5m6ZZkJ,43,0.539,0.405,6,-10.565,1,0.0246,0.324,0.00777,0.129,0.163,95.904,268880,4
8882,Eagles,Learn To Be Still,5POu9RspR7sR9zD5m6ZZkJ,43,0.539,0.405,6,-10.565,1,0.0246,0.324,0.00777,0.129,0.163,95.904,268880,4
8883,Eagles,Learn To Be Still,5POu9RspR7sR9zD5m6ZZkJ,43,0.539,0.405,6,-10.565,1,0.0246,0.324,0.00777,0.129,0.163,95.904,268880,4
8884,Eagles,Learn To Be Still,5POu9RspR7sR9zD5m6ZZkJ,43,0.539,0.405,6,-10.565,1,0.0246,0.324,0.00777,0.129,0.163,95.904,268880,4
8885,Eagles,Learn To Be Still,5POu9RspR7sR9zD5m6ZZkJ,43,0.539,0.405,6,-10.565,1,0.0246,0.324,0.00777,0.129,0.163,95.904,268880,4
8886,Eagles,Learn To Be Still,5POu9RspR7sR9zD5m6ZZkJ,43,0.539,0.405,6,-10.565,1,0.0246,0.324,0.00777,0.129,0.163,95.904,268880,4
8887,Eagles,Learn To Be Still,5POu9RspR7sR9zD5m6ZZkJ,43,0.539,0.405,6,-10.565,1,0.0246,0.324,0.00777,0.129,0.163,95.904,268880,4
8888,Eagles,Learn To Be Still,5POu9RspR7sR9zD5m6ZZkJ,43,0.539,0.405,6,-10.565,1,0.0246,0.324,0.00777,0.129,0.163,95.904,268880,4
8889,Eagles,Learn To Be Still,5POu9RspR7sR9zD5m6ZZkJ,43,0.539,0.405,6,-10.565,1,0.0246,0.324,0.00777,0.129,0.163,95.904,268880,4
8890,Fleetwood Mac,For Your Love - 2018 Remaster,0m8FPvtqX1SkWp2hgiXD8v,33,0.493,0.679,11,-12.521,0,0.0396,0.107,0.00228,0.116,0.563,141.84,226840,4
8891,Fleetwood Mac,For Your Love - 2018 Remaster,0m8FPvtqX1SkWp2hgiXD8v,33,0.493,0.679,11,-12.521,0,0.0396,0.107,0.00228,0.116,0.563,141.84,226840,4
8892,Fleetwood Mac,For Your Love - 2018 Remaster,0m8FPvtqX1SkWp2hgiXD8v,33,0.493,0.679,11,-12.521,0,0.0396,0.107,0.00228,0.116,0.563,141.84,226840,4
8893,Fleetwood Mac,For Your Love - 2018 Remaster,0m8FPvtqX1SkWp2hgiXD8v,33,0.493,0.679,11,-12.521,0,0.0396,0.107,0.00228,0.116,0.563,141.84,226840,4
8894,Fleetwood Mac,For Your Love - 2018 Remaster,0m8FPvtqX1SkWp2hgiXD8v,33,0.493,0.679,11,-12.521,0,0.0396,0.107,0.00228,0.116,0.563,141.84,226840,4
8895,Fleetwood Mac,For Your Love - 2018 Remaster,0m8FPvtqX1SkWp2hgiXD8v,33,0.493,0.679,11,-12.521,0,0.0396,0.107,0.00228,0.116,0.563,141.84,226840,4
8896,Fleetwood Mac,For Your Love - 2018 Remaster,0m8FPvtqX1SkWp2hgiXD8v,33,0.493,0.679,11,-12.521,0,0.0396,0.107,0.00228,0.116,0.563,141.84,226840,4
8897,Fleetwood Mac,For Your Love - 2018 Remaster,0m8FPvtqX1SkWp2hgiXD8v,33,0.493,0.679,11,-12.521,0,0.0396,0.107,0.00228,0.116,0.563,141.84,226840,4
8898,Fleetwood Mac,For Your Love - 2018 Remaster,0m8FPvtqX1SkWp2hgiXD8v,33,0.493,0.679,11,-12.521,0,0.0396,0.107,0.00228,0.116,0.563,141.84,226840,4
8899,Grateful Dead,"Sugar Magnolia - Live at the Olympia Theatre, Paris France 5/4/72; 2018 Remaster",3jS2YRUsl4F1m3ZBwzyyhi,29,0.426,0.676,4,-11.985,1,0.078,0.624,0.718,0.137,0.635,150.679,430067,4
8900,Grateful Dead,"Sugar Magnolia - Live at the Olympia Theatre, Paris France 5/4/72; 2018 Remaster",3jS2YRUsl4F1m3ZBwzyyhi,29,0.426,0.676,4,-11.985,1,0.078,0.624,0.718,0.137,0.635,150.679,430067,4
