,artist_name,followers,genre,popularity,ID
58,Mau y Ricky,"{'href': None, 'total': 1792455}","['latin', 'latin pop', 'reggaeton']",80,2wkoKEfS6dXwThbyTnZWFU
59,Queens of the Stone Age,"{'href': None, 'total': 2204521}","['alternative metal', 'alternative rock', 'blues rock', 'garage rock', 'modern rock', 'nu metal', 'palm desert scene', 'post-grunge', 'rock', 'stoner metal', 'stoner rock']",72,4pejUc4iciQfgdX6OKulQn
60,Yaviah,"{'href': None, 'total': 67246}","['latin', 'latin hip hop', 'reggaeton', 'tropical']",72,0Y30TbA4p8SAfCzy2AFBa8
61,Almighty,"{'href': None, 'total': 244715}","['reggaeton flow', 'trap latino']",74,6P6GTRTigHBp8ZesNtpCKH
62,The Cars,"{'href': None, 'total': 851587}","['album rock', 'art rock', 'classic rock', 'dance rock', 'folk rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'power pop', 'rock', 'soft rock']",67,6DCIj8jNaNpBz8e5oKFPtp
63,Yusuf / Cat Stevens,"{'href': None, 'total': 988376}","['british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",72,08F3Y3SctIlsOEmKd6dnH8
64,SadBoyProlific,"{'href': None, 'total': 92620}",['emo rap'],68,0inkJpjAKDnQOv2VHBCU0Z
65,Yung Bans,"{'href': None, 'total': 419276}","['rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap']",66,6WkUZyqghQei2G809wMKuZ
66,Eladio Carrion,"{'href': None, 'total': 216832}","['reggaeton', 'reggaeton flow', 'trap argentino', 'trap latino']",75,5XJDexmWFLWOkjOEjOVX3e
67,Ludovico Einaudi,"{'href': None, 'total': 1703280}","['bow pop', 'compositional ambient', 'neo-classical']",79,2uFUBdaVGtyMqckSeCl0Qj
68,Gavin DeGraw,"{'href': None, 'total': 991846}","['acoustic pop', 'neo mellow', 'pop', 'pop rock']",68,5DYAABs8rkY9VhwtENoQCz
69,The Band,"{'href': None, 'total': 598400}","['album rock', 'blues rock', 'classic canadian rock', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'heartland rock', 'jam band', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'traditional folk']",66,4vpDg7Y7fU982Ds30zawDA
70,The Pussycat Dolls,"{'href': None, 'total': 3358968}","['dance pop', 'girl group', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",73,6wPhSqRtPu1UhRCDX5yaDJ
71,Adriel Favela,"{'href': None, 'total': 672792}",['regional mexican pop'],70,0PrhwIWbqYFYyY2ZrkIWgI
72,Zion,"{'href': None, 'total': 1657368}","['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'tropical']",79,1pgDilWYDWLoOgGjf1iHNu
73,Skepta,"{'href': None, 'total': 728906}","['birmingham grime', 'grime', 'instrumental grime', 'rap']",78,2p1fiYHYiXz9qi0JJyxBzN
74,Passenger,"{'href': None, 'total': 2505374}","['folk-pop', 'neo mellow', 'pop']",75,0gadJ2b9A4SKsB1RFkBb66
